(i, hn[i], current_templature, outcome, outcome_templature) = (71, 75207, 489.242, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (72, 58162, 386.972, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (73, 76056, 494.336, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (74, 22900, 175.4, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (75, 31685, 228.11, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (76, 8860, 91.16, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (77, 21098, 164.58800000000002, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (78, 2716, 54.296, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (79, 93432, 598.592, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (80, 35140, 248.84, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (81, 78574, 509.444, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (82, 20670, 162.01999999999998, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (83, 92318, 591.908, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (84, 19425, 154.55, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (85, 34842, 247.052, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (86, 49375, 334.25, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (87, 44932, 307.592, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (88, 84689, 546.134, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (89, 95139, 608.8340000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (90, 45160, 308.96, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (91, 68663, 449.978, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (92, 86386, 556.316, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (93, 47136, 320.81600000000003, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (94, 48320, 327.92, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (95, 93967, 601.802, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (96, 93028, 596.168, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (97, 17778, 144.668, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (98, 88472, 568.832, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (99, 43156, 296.936, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (100, 2085, 50.51, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (101, 20893, 163.358, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (102, 94711, 606.266, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (103, 38271, 267.626, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (104, 74616, 485.696, 1, 40.124)
